1000.	-1.0426641439821333e-12
891.2509381337459	-1.347497908536477e-12
794.3282347242822	-1.7432558810909527e-12
707.9457843841374	-2.2564812688774103e-12
630.957344480193	-2.9208887608959794e-12
562.341325190349	-3.7789684314623925e-12
501.1872336272725	-4.883758734196837e-12
446.6835921509635	-6.300683499170426e-12
398.1071705534977	-8.109249280095998e-12
354.8133892335753	-1.0404248472375844e-11
316.2277660168379	-1.3295890312033783e-11
281.8382931264455	-1.6907961155184287e-11
251.18864315095823	-2.13726672066846e-11
223.87211385683423	-2.6820201821864947e-11
199.5262314968883	-3.3360265416896004e-11
177.82794100389228	-4.1051703537525133e-11
158.48931924611142	-4.9855065937567565e-11
141.25375446227554	-5.956116469594936e-11
125.89254117941661	-6.968654201374574e-11
112.2018454301963	-7.932403467897012e-11
100.	-8.693317122400008e-11
89.12509381337459	-9.005069978035604e-11
79.43282347242823	-8.489573869955721e-11
70.79457843841388	-6.583634209358258e-11
63.09573444801929	-2.4674010639087062e-11
56.23413251903491	5.031093423292743e-11
50.11872336272725	1.7562801206343597e-10
44.668359215096345	3.742570814930203e-10
39.81071705534978	6.778673146862731e-10
35.481338923357534	1.1297368609865981e-9
31.622776601683793	1.788578377345304e-9
28.18382931264455	2.7335263226430847e-9
25.11886431509582	4.070600326564797e-9
22.38721138568338	5.941024838101513e-9
19.952623149688787	8.531859410332341e-9
17.78279410038923	1.2089480179213619e-8
15.848931924611144	1.693656015453775e-8
14.125375446227554	2.3493338124143302e-8
12.589254117941687	3.230416140211828e-8
11.22018454301963	4.40705549142501e-8
10.	5.969242526906628e-8
